area,bedrooms,location,price
1200,2,urban,5000000
1500,3,urban,6500000
1800,3,suburban,7000000
1000,2,rural,3000000
2500,4,urban,12000000
2200,4,suburban,9500000
1400,3,rural,4500000
1700,3,urban,7500000
2100,4,urban,11000000
900,1,rural,2500000
1300,2,suburban,5200000
1600,3,urban,7200000
1900,3,suburban,8100000
1100,2,rural,3400000
2700,5,urban,14000000
2300,4,suburban,9800000
1450,2,rural,4000000
1750,3,urban,7800000
2400,4,urban,12500000
950,1,rural,2700000
1550,3,suburban,6900000
2000,4,urban,10500000
1250,2,urban,5400000
1850,3,suburban,8300000
1150,2,rural,3600000
2600,5,urban,13500000
2250,4,suburban,9700000
1350,2,urban,5900000
1650,3,urban,7600000
980,1,rural,2800000
